company_code,source_type,publish_date,title,content,processed
688286,announcement,2026-01-31,[688286] 敏芯股份 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:2,300万元至3,400万元,同比上年增长5,808.91万元至6,908.91万元。",True
688275,announcement,2026-01-31,[688275] 万润新能 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:35,800万元至42,900万元,同比上年增长:51.89%至59.85%,同比上年增长46,273.23万元至53,373.23万元。",True
688266,announcement,2026-01-31,[688266] 泽璟制药 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:17,253万元至23,787万元,同比上年降低136.97万元至6,670.97万元。",True
688256,announcement,2026-01-31,[688256] 寒武纪 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:185,000万元至215,000万元。",True
688244,announcement,2026-01-31,[688244] 永信至诚 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:5,000万元至5,900万元,同比上年降低4,794.23万元至5,694.23万元。",True
688228,announcement,2026-01-31,[688228] 开普云 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:800万元至1,200万元,同比上年下降:139%至158%,同比上年降低2,859万元至3,259万元。",True
688221,announcement,2026-01-31,[688221] 前沿生物 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:25,500万元至29,000万元,同比上年降低5,361.74万元至8,861.74万元。",True
688211,announcement,2026-01-31,[688211] 中科微至 业绩预告,"预计2025年1-12月营业收入:235,000万元至285,000万元。",True
688210,announcement,2026-01-31,[688210] 统联精密 业绩预告,预计2025年1-12月扣除非经常性损益后的净利润亏损:650万元至975万元。,True
688207,announcement,2026-01-31,[688207] 格灵深瞳 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:17,000万元至24,000万元,同比上年变动:-13.42%至19.66%。",True
688203,announcement,2026-01-31,[688203] 海正生材 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:750万元至950万元,同比上年下降:73.24%至78.88%,同比上年降低2,600.46万元至2,800.46万元。",True
688202,announcement,2026-01-31,[688202] 美迪西 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:12,400万元至18,600万元,同比上年增长:43.78%至62.52%,同比上年增长14,485万元至20,685万元。",True
688199,announcement,2026-01-31,[688199] 久日新材 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,440万元至2,160万元。",True
688193,announcement,2026-01-31,[688193] 仁度生物 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:1,100万元至1,450万元,同比上年增长505.99万元至855.99万元。",True
688189,announcement,2026-01-31,[688189] 南新制药 业绩预告,"预计2025年1-12月扣除后营业收入:11,990万元至14,990万元。",True
688180,announcement,2026-01-31,[688180] 君实生物 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:98,500万元,同比上年增长:23.64%左右,同比上年增长30,488.79万元左右。",True
688178,announcement,2026-01-31,[688178] 万德斯 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:8,500万元至12,500万元。",True
688176,announcement,2026-01-31,[688176] 亚虹医药 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:39,628.87万元至47,554.65万元,同比上年变动:-16.28%至3.1%,同比上年变动-6,659.17万元至1,266.61万元。",True
688175,announcement,2026-01-31,[688175] 高凌信息 业绩预告,"预计2025年1-12月营业收入:22,000万元至24,200万元,同比上年下降:9.19%至17.44%,同比上年降低2,448万元至4,648万元。",True
688173,announcement,2026-01-31,[688173] 希荻微 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:10,600万元至15,100万元,同比上年增长:50%至65%,同比上年增长14,920.48万元至19,420.48万元。",True
688170,announcement,2026-01-31,[688170] 德龙激光 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:2,100万元至3,000万元,同比上年增长5,550.11万元至6,450.11万元。",True
688166,announcement,2026-01-31,[688166] 博瑞医药 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,130万元至6,190万元,同比上年下降:67.28%至78.17%。",True
688159,announcement,2026-01-31,[688159] 有方科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利约:2,700万元,同比上年下降:73.07%左右,同比上年降低7,324.63万元左右。",True
688152,announcement,2026-01-31,[688152] 麒麟信安 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:8,900万元,同比上年降低7,226.32万元。",True
688141,announcement,2026-01-31,[688141] 杰华特 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:63,000万元至73,000万元。",True
688137,announcement,2026-01-31,[688137] 近岸蛋白 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:6,500万元至8,400万元。",True
688136,announcement,2026-01-31,[688136] 科兴制药 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:13,500万元至17,500万元,同比上年增长:328.83%至455.89%,同比上年增长10,352万元至14,352万元。",True
688135,announcement,2026-01-31,[688135] 利扬芯片 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:950万元至1,350万元,同比上年增长5,218.08万元至5,618.08万元。",True
688132,announcement,2026-01-31,[688132] 邦彦技术 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:18,500万元至23,600万元,同比上年降低13,288.23万元至18,388.23万元。",True
688109,announcement,2026-01-31,[688109] 品茗科技 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,600万元至5,000万元,同比上年增长:46.13%至58.83%,同比上年增长1,452.07万元至1,852.07万元。",True
688108,announcement,2026-01-31,[688108] 赛诺医疗 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:4,300万元至5,000万元,同比上年增长:2767%至3233%,同比上年增长4,150万元至4,850万元。",True
688096,announcement,2026-01-31,[688096] 京源环保 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,900万元至7,300万元,同比上年下降:98%至195%,同比上年降低2,427万元至4,827万元。",True
688083,announcement,2026-01-31,[688083] 中望软件 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:10,500万元至13,000万元,同比上年降低1,364.63万元至3,864.63万元。",True
688076,announcement,2026-01-31,[688076] ST诺泰 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:31,000万元至42,000万元。",True
